Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-05-01 09:56 (-04),On Demand,Ben Alldis,10,Cycling,Warm Up,10 min Warm Up Ride,2019-06-18 11:22 (-04),86,143,42%,86,18.31,3.06,98,112.95,,
2022-05-01 10:07 (-04),On Demand,Hannah Frankson,60,Cycling,Music,60 min EDM Ride,2022-05-01 05:25 (-04),613,170,49%,78,19.94,19.95,753,128.21,,
2022-05-01 11:09 (-04),On Demand,Jess King,30,Cycling,Low Impact,30 min Low Impact Ride,2022-04-27 16:52 (-04),258,143,44%,83,18.72,9.37,374,127.82,,
2022-05-01 11:39 (-04),On Demand,Denis Morton,10,Cycling,Cool Down,10 min Cool Down Ride,2020-07-09 18:33 (-04),82,136,42%,85,18.31,3.06,128,130.03,,
2022-05-01 11:50 (-04),,,5,Cycling,,5 min Lanebreak Ride,,45,149,47%,76,19.02,1.61,58,,,
2022-05-01 11:56 (-04),,,5,Cycling,,5 min Lanebreak Ride,,40,134,40%,89,18.05,1.50,52,,,
2022-05-01 12:02 (-04),,,5,Cycling,,5 min Lanebreak Ride,,42,137,43%,84,18.30,1.54,53,,,
2022-05-06 09:38 (-04),On Demand,Matt Wilpers,5,Cycling,Warm Up,5 min Warm Up Ride,2022-05-05 11:00 (-04),34,113,34%,101,16.69,1.39,42,105.00,,
2022-05-06 09:43 (-04),On Demand,Ben Alldis,30,Cycling,Music,30 min EDM Ride,2022-05-05 02:26 (-04),308,171,48%,82,19.93,9.97,380,129.11,,
2022-05-06 10:14 (-04),On Demand,Leanne Hainsby,30,Cycling,Low Impact,30 min Low Impact Ride,2022-05-01 06:55 (-04),299,166,47%,82,19.75,9.88,401,133.46,,
2022-05-06 10:44 (-04),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2022-05-05 11:00 (-04),27,90,32%,94,15.37,1.27,57,122.26,,
2022-05-07 11:18 (-04),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2022-05-07 07:23 (-04),889,165,48%,79,19.76,29.65,1163,130.76,,
2022-05-07 12:48 (-04),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2022-05-05 11:00 (-04),34,113,36%,94,17.08,1.41,63,130.05,,
2022-05-08 10:24 (-04),,,5,Cycling,,5 min Lanebreak Ride,,39,129,39%,87,17.70,1.48,50,,,
